anchor,line,neg_response
You fired me because I screwed up. I just proved I can pull my weight.,All you proved is you know how to make an entrance.,What? You cant fire me. Im the star. Im the girl that goes bananas. It says so on the poster.
"House, she deserves another shot. She found the cysts, saved the Patient.",Who wouldn't have needed saving if Thirteen had shown up at the differential in the first place.,"Tammy gross. Birdperson, you always stick up for Rick, but he doesnt care about anyone but himself. He doesnt think about the consequences of anything he does."
"Give her her job back, House.",Or what? You're gonna quit? Go do the biopsy. Taub and Kutner leave,Teach her to offer Stanley more money.
"to Thirteen I'm sorry. He follows Taub and Kutner, leaving Thirteen standing alone in front of House","How much clearer do I need to make this? Thirteen looks at House and then, clearly upset, turns and walks out of his office","There are thirteen people working in this office, so thirteen times a year Michael gets a cake and balloons, and some sort of joke gift and makes a toast."
"What does that Even mean, dating a hooker?",He's an idiot with a messiah complex.,"Whatd you think I was, a hooker?"
From you or the ho?,The ho's just using him for his money. Wait. Bad example.,Are you calling me a ho?
"Normally in these situations, I'd follow the girl, find out something embarrassing about her to show him. But since that's our starting position!",Proceed directly to the leg-breaking.,Dont embarrass him in front of his friends.
"I'm not breaking her legs. She pRobably has a pimp. Or, at least, an older brother. Or a younger brother. Or overprotective sister.","Find her, find her family, find client number nine. Just get me something I can use to force her to back off.","Excuse me, this is my apartment and shes my roommates sister."
"approaParkng the bench Sorry to interrupt your meeting, Mannix. Here's the result from the lung biopsy.",Why not men?,In case Michael or Andy ever got killed in a traffic accident and there was a trade show on the same day.
Here I thought I was just into boobs.,"Instead of getting sweaty with a stranger, why don't you try taking it to the next lEvel?",Hate to break it to you Oscar but some of us like boobs.
closing the file and looking up at House Okay.,This is not a test. You're not getting your job back if you can,Okay. Open your eyes and see your new room.
All her blood counts are down. It's a new symptom. Aplastic anemia.,Does the word fired have some whole other definition that I'm not aware of? He turns to face Thirteen,"Come on, lets get you to bed."
I don't work for you. Fine. Don't pay me. Just let me finish out this case.,So you like her now that she's dying. What happens if she stops dying?,"Excuse me. Excuse me! Thanks. Um, clearly this is a very, very hard time for you. Um, but, um, we provided a service, and we deserve to be paid because you ate that service, and, um, we are not leaving here until were paid every penny. Cause you know what, lady? Were part time caterers, and we have no place else to go."
"Or mastocytosis, which can cause systemic shock and kill her in days.","Go. Test for Everything. Taub, Kutner, and Foreman leave to Thirteen Not you. You're just a visitor.","I was scared, but I told myself its just a big bathtub."
I'm glad you're here.,She needs a bone marrow transplant.,"Oh, Im so glad youre here."
Test results are back? What's she positive for?,Nothing. But we've got a donor match.,I dont know.
Jumping to a transplant when we don't know what she,I know she has a blood disorder.,I think thats really smart.
"Yeah, I get it. But she'll nEver survive total body irradiation.",So we don't radiate her. Her marrow's nearly wiped out already. Counts almost zero.,She survived Craster and he was the worst shit Ive ever met.
Almost being the key word. The new marrow would attack the old marrow. She'll die from graft-versus-host.,You got a better idea? She trusts you. Go get her consent.,"Oh, so kind of like whats happening with Penny right now."
Sometimes I find out things you'd rather not know. House opens the bag to rEveal a used syringe This was in his trash. He's using. House grins,You're back.,"Phoebe, cmere. I want to show you something in the bathroom."
House grins You're back.,Genius.,"Oh, good. Youre back."
Damn. I knew the fake works was too much.,"Well, you had no choice.",It hardly looks fake.
"Cane prints. I'm actually kind of insulted. No way I'm a drug addict, but you completely buy that I fell in love with a prostitute?",You played to your strengths.,And finally that you were unable to consummate the marriage.
Best $30 I Ever spent.,It's $30? Did you keep her number?,"Yes, money well spent!"
"Unfortunately, I killed her and buried her in the basement.",Shame. Hungry?,Did you have to bury her in a place like this?
Yeah. Wilson gets up,"So, seriously. Where were you the other morning?",No. He.....hes coming out of his shorts.
"Ugh, don't make me do this again. It has nothing to do with you.",Then tell me.,"All right, fine, just know that you made me do this."
putting on his jacket We're going bowling on Monday. I'm coming over to play poker this weekend. Nothing's changed. You have to trust that.,too compliantly Okay.,Have fun tonight!
"You're gonna keep following me, aren't you?",It's what we do.,"Of course. Follow me, Mother."
She said yes to the transplant.,Good. You're in a downward spiral of destruction.,"So I asked Emily if she would come to New York, and she said yes."
I can stop.,You're gonna keep spiraling.,Can you stop.
You're hiring me back?,You did good work.,"All right, youre hired!"
"I did good work yesterday, and I was still fired. What changed? with sudden realization You wanted me to spend time with her. See if I could still make a connection.","You connected with a diagnosis, not with her.",Did you get sick of that face?
"You're trying to save me, trying to control me. You're doing exactly what you think that I'm",noticing something Cracks. You're lips are cracked. Thirteen puts her fingers to her lips You been using your inhaler lately?,Itd be kinder to put daggers in their hearts and be done with it.
Allergies. Don't deflect. You always deflect.,"thinking Did she cry? When you told her that she was gonna die, did she cry?","Wait a minute, is she going for spring vacation or is she going for spring break?"
She! got upset. She,Were. there. tears?,Did she seem upset to you?
tears? No.,"Chopping an onion releases a mist of syn-propanethial-s-oxide, a chemical irritant House holds the cut onion in front of Spencer's nose while trying not to tear up himself which causes","Tired. Im tired. And I didnt eat enough. And, and, thats all. That was it."
